Is_Home_or_Away,Is_Opponent_In_AP25_Preseason,Media,Label
Home,Out,1-NBC,Win
Away,Out,4-ABC,Win
Home,In,1-NBC,Win
Home,Out,1-NBC,Win
Away,In,4-ABC,Lose
Home,Out,1-NBC,Win
Home,In,1-NBC,Win
Away,Out,4-ABC,Win
Away,Out,4-ABC,Win
Home,Out,1-NBC,Win
Away,Out,1-NBC,Win
Away,In,3-FOX,Lose
Away,Out,4-ABC,Lose
Home,Out,1-NBC,Win
Home,Out,1-NBC,Lose
Home,Out,1-NBC,Lose
Home,Out,2-ESPN,Win
Away,Out,4-ABC,Lose
Home,In,1-NBC,Lose
Home,Out,1-NBC,Win
Home,Out,5-CBS,Lose
Home,Out,1-NBC,Win
Home,In,1-NBC,Lose
Away,In,4-ABC,Lose
